THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
25.758476,25.375118,22.51898,,352
22.247335,23.629189,24.575512,,353
23.922108,23.776268,22.744774,,354
22.260319,23.081793,25.343622,,355
25.673836,24.025946,22.429264,,356
24.705885,23.253275,24.71242,,357
25.733639,23.48679,23.985086,,358
22.286081,22.506731,22.310707,,359
22.478813,23.957933,24.531338,,360
25.757214,22.810585,25.062044,,361
25.183863,23.42498,22.321823,,362
22.161947,22.697567,24.055529,,363
22.289085,25.196098,23.718369,,364
24.265026,23.957367,22.590754,,365
22.070818,22.209177,22.99473,,366
22.282175,23.879,24.917976,,367
25.847939,24.380264,25.034693,,368
25.144184,24.345898,24.286402,,369
22.407593,24.34819,22.320862,,370
23.28201,24.575315,23.737707,,371
24.201513,24.431114,22.265623,,372
22.211811,25.225264,22.375536,,373
25.664965,23.814972,22.48942,,374
25.809347,24.49312,24.265774,,375
22.604073,23.043627,23.77565,,376
24.110447,24.263853,25.042353,,377
22.361954,25.398268,24.75496,,378
25.51655,22.831087,23.175158,,379
23.177256,25.40938,23.962679,,380
23.836351,22.48764,24.73686,,381
25.577183,22.532104,22.279985,,382
24.339191,24.478363,23.532358,,383
25.693174,22.59747,24.186504,,384
24.798367,22.735125,24.092115,,385
24.412743,24.619217,25.034475,,386
23.960445,22.460915,24.572151,,387
23.593807,24.560738,22.384197,,388
23.17843,24.938581,25.57164,,389
25.832987,24.14136,25.019405,,390
24.959599,23.851465,22.454657,,391
22.769072,23.777914,22.355656,,392
23.002882,22.588306,25.060865,,393
23.190718,25.013397,24.703213,,394
23.49643,22.606176,24.055769,,395
22.067474,22.897318,22.249748,,396
22.079521,23.130972,22.220871,,397
25.122862,22.739986,25.17531,,398
25.644735,25.10557,22.639906,,399
23.680424,23.654308,24.996227,,400
24.655224,24.504036,22.595703,,401
22.348091,25.409391,24.508144,,402
24.744843,23.89737,25.65964,,403
25.783972,25.57548,22.752048,,404
22.18501,24.75741,22.387772,,405
22.325817,25.316982,24.22191,,406
25.136564,22.758516,25.15471,,407
25.906357,25.664158,24.743923,,408
23.64608,25.065,24.063261,,409
22.12653,22.314785,23.836226,,410
22.288551,25.401728,23.50366,,411
25.659796,22.647474,23.56905,,412
22.320503,22.357746,24.02108,,413
22.281473,23.665298,24.817554,,414
22.758904,24.744638,25.213825,,415
24.531204,24.186102,23.525616,,416
22.993153,25.51371,25.48639,,417
24.399654,22.59703,23.566694,,418
24.301395,24.60028,25.572111,,419
24.232437,24.42483,22.577066,,420
24.918243,22.592451,25.568851,,421
22.798002,25.11285,22.475527,,422
24.460493,25.539127,25.828268,,423
22.299452,25.284828,23.805845,,424
24.338238,24.835396,22.497177,,425
23.920576,24.175358,23.898314,,426
24.681644,23.962553,24.140242,,427
22.240885,22.850588,25.244446,,428
25.798513,23.628647,24.94609,,429
24.876728,23.547174,24.988379,,430
22.848381,24.026161,24.998785,,431
23.814528,23.408596,23.199162,,432
22.202253,24.0914,23.346918,,433
25.937588,25.704159,25.234825,,434
22.746515,25.194511,22.935642,,435
24.758331,22.68006,25.52264,,436
23.810354,25.116344,25.031534,,437
22.674364,22.528173,22.297903,,438
23.655853,25.280312,24.2131,,439
24.809977,22.756002,24.215038,,440
23.173903,24.789343,24.52193,,441
25.682419,24.134474,22.466654,,442
23.635208,25.649292,25.637928,,443
25.584887,22.55281,22.39026,,444
22.508427,25.39953,24.03364,,445
23.731962,22.50157,25.412523,,446
22.267448,23.678398,24.868214,,447
25.469389,25.554745,24.283297,,448
22.912937,24.32299,24.636953,,449
22.724688,23.319397,24.555597,,450
23.764322,22.913979,25.684944,,451
25.08634,24.196257,23.87978,,452
22.662931,23.20627,23.260498,,453
24.367895,25.398563,22.747602,,454
25.655102,22.50686,23.629852,,455
23.147493,22.55587,25.328274,,456
25.177177,24.550472,24.692812,,457
22.188648,24.927547,22.279467,,458
25.713507,25.56816,24.845385,,459
23.432714,25.291359,24.757845,,460
22.282618,24.011658,24.79285,,461
24.777575,22.701452,22.945463,,462
24.9276,24.693096,22.533527,,463
22.86372,22.734386,23.90114,,464
24.19132,24.050795,24.07255,,465
